BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2780,6279875,2780.dat,"Technic, Pin with Short Friction Ridges",11,0,Black,Solid Colors,17,0.16
2905,4211653,2905.dat,"Technic, Liftarm, Modified Triangle Thin 3 x 5 with Full Supports",86,71,Light Bluish Gray,Solid Colors,2,1.16
32034,6271869,32034.dat,"Technic, Axle and Pin Connector Angled #2 - 180 degrees",11,0,Black,Solid Colors,1,0.68
32062,4142865,32062.dat,"Technic, Axle  2L Notched",5,4,Red,Solid Colors,16,0.26
32073,4211639,32073.dat,"Technic, Axle  5L",86,71,Light Bluish Gray,Solid Colors,6,0.66
4265c,6271167,32123a.dat,Technic Bush 1/2 Smooth,3,14,Yellow,Solid Colors,1,0.1
32184,6276951,32184.dat,"Technic, Axle and Pin Connector Perpendicular 3L with Center Pin Hole",11,0,Black,Solid Colors,1,0.64
32269,6346535,32269.dat,"Technic, Gear 20 Tooth Double Bevel",11,0,Black,Solid Colors,7,1.4
32278,4542573,32278.dat,"Technic, Liftarm Thick 1 x 15",11,0,Black,Solid Colors,4,4
32316,4211651,32316.dat,"Technic, Liftarm Thick 1 x 5",86,71,Light Bluish Gray,Solid Colors,1,1.21
32523,4142822,32523.dat,"Technic, Liftarm Thick 1 x 3",11,0,Black,Solid Colors,2,0.7
32524,4495930,32524.dat,"Technic, Liftarm Thick 1 x 7",86,71,Light Bluish Gray,Solid Colors,3,1.74
32524,4495935,32524.dat,"Technic, Liftarm Thick 1 x 7",11,0,Black,Solid Colors,2,1.74
32526,4142823,32526.dat,"Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5",11,0,Black,Solid Colors,5,1.77
3713,6275844,3713.dat,Technic Bush,86,71,Light Bluish Gray,Solid Colors,4,0.14
39367pb01,6460453,39367pb01.dat,Wheel 56 x 14 Technic with Axle Hole and 8 Pin Holes with Molded Medium Azure Hard Rubber Tire Pattern,11,0,Black,Solid Colors,4,0
40490,4645732,40490.dat,"Technic, Liftarm Thick 1 x 9",11,0,Black,Solid Colors,1,2.59
4274,4211483,4274.dat,"Technic, Pin 1/2 without Friction Ridges",86,71,Light Bluish Gray,Solid Colors,8,0.095
4519,4211815,4519.dat,"Technic, Axle  3L",86,71,Light Bluish Gray,Solid Colors,6,0.43
46372,6259270,46372.dat,"Technic, Gear 28 Tooth Double Bevel",86,71,Light Bluish Gray,Solid Colors,1,0
48989,6282158,48989.dat,"Technic, Pin Connector Perpendicular 3L with 4 Pins",86,71,Light Bluish Gray,Solid Colors,7,1.22
55013,4499858,55013.dat,"Technic, Axle  8L with Stop",85,72,Dark Bluish Gray,Solid Colors,2,1.18
55615,6313453,55615.dat,"Technic, Pin Connector Perpendicular 3 x 3 Bent with 4 Pins",86,71,Light Bluish Gray,Solid Colors,2,1.9
6538c,4512363,59443.dat,"Technic, Axle Connector 2L (Smooth with x Hole + Orientation)",11,0,Black,Solid Colors,5,0.4
62520c01,6335279,61903.dat,"Technic, Universal Joint 3L",86,71,Light Bluish Gray,Solid Colors,2,0.54
62821a,,62821.dat,"Technic, Gear Differential 28 Tooth Bevel - Inner Tabs with Open Center",86,71,Light Bluish Gray,Solid Colors,2,2.85
64179,6016154,64179.dat,"Technic, Liftarm, Modified Frame Thick 5 x 7 Open Center",11,0,Black,Solid Colors,2,5.3
64179,4539880,64179.dat,"Technic, Liftarm, Modified Frame Thick 5 x 7 Open Center",86,71,Light Bluish Gray,Solid Colors,2,5.3
64781,6302830,64781.dat,"Technic, Gear Rack 1 x 13 with Axle and Pin Holes",11,0,Black,Solid Colors,1,3.13
6558,6299413,6558.dat,"Technic, Pin 3L with Friction Ridges",7,1,Blue,Solid Colors,14,0.31
6589,4565452,6589.dat,"Technic, Gear 12 Tooth Bevel",2,19,Tan,Solid Colors,6,0.29
71710,6321716,71710.dat,"Technic, Liftarm, Modified Perpendicular Holes Thick 1 x 15",11,0,Black,Solid Colors,2,0
73507,6330585,73507.dat,"Technic, Liftarm, Modified Perpendicular Holes Thick 1 x 11",11,0,Black,Solid Colors,2,0
87083,6083620,87083.dat,"Technic, Axle  4L with Stop",85,72,Dark Bluish Gray,Solid Colors,1,0.59
94925,4640536,94925.dat,"Technic, Gear 16 Tooth - Axle Hole with Closed Sides",86,71,Light Bluish Gray,Solid Colors,4,0.7
99455,,99455.dat,"Electric, Motor EV3, Medium",86,71,Light Bluish Gray,Solid Colors,3,38.3
99773,6331428,99773.dat,"Technic, Liftarm, Modified Triangle Thin 3 x 5 with Short Supports",86,71,Light Bluish Gray,Solid Colors,6,1.2
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
155,246.41,,,,,,,,
